district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Mainpuri,2020,27.23,79.02,73,20,114,221,45,82,19,1730
Mathura,2020,27.5,77.67,95,60,353,759,160,0,64,4498
Mau,2020,25.94,83.56,25,11,96,109,66,100,28,1226
Meerut,2020,28.99,77.7,97,55,602,952,90,0,59,5330
Mirzapur,2020,25.15,82.57,24,2,57,90,48,22,10,750
Moradabad,2020,28.84,78.78,67,32,246,422,86,0,89,2924
Muzaffarnagar,2020,29.47,77.7,69,36,197,205,46,11,48,1898
Pilibhit,2020,28.63,79.8,46,14,88,62,52,128,82,1470
Pratapgarh,2020,25.9,81.98,73,48,399,282,132,130,40,3057
Rae Bareli,2020,26.23,81.24,59,35,164,142,108,118,85,2174
Rampur,2020,28.81,79.03,39,12,64,96,32,0,29,900
Saharanpur,2020,29.97,77.55,39,28,203,149,49,195,45,1922
Sambhal,2020,28.59,78.58,42,19,115,101,32,82,35,1254
Sant Kabir Nagar,2020,26.79,83.03,11,3,30,36,41,33,26,554
Shahjahanpur,2020,27.88,79.91,48,6,74,65,33,165,34,1206
Shamli,2020,29.45,77.31,25,18,112,135,33,0,19,1020
Shrawasti,2020,27.44,82.06,23,4,44,33,19,31,10,487
Siddharthnagar,2020,27.3,83.05,14,0,21,29,21,27,25,441
Sitapur,2020,27.56,80.68,70,24,203,160,133,135,102,2511
Sonbhadra,2020,24.69,83.07,44,3,77,35,40,35,28,821
Bhadohi,2020,25.39,82.57,23,14,59,76,35,30,17,767
Sultanpur,2020,26.26,82.07,67,12,104,193,66,53,56,1754
Unnao,2020,26.55,80.49,51,18,171,142,88,53,36,1645
Varanasi,2020,25.32,83.01,58,16,379,784,314,349,62,5414
Farrukhabad,2020,27.39,79.57,64,11,58,64,46,106,29,1167
Gautam Buddha Nagar,2020,28.53,77.39,84,77,836,1308,151,23,44,7043
Agra,2021,27.18,78.01,102,69,458,1459,284,380,99,8186
Aligarh,2021,27.88,78.08,109,192,544,554,137,0,57,4759
Prayagraj,2021,25.44,81.84,113,47,419,930,333,334,96,6528
Ambedkar Nagar,2021,26.45,82.54,32,6,99,120,55,50,11,1062
Amethi,2021,26.15,81.82,32,18,121,91,55,84,29,1225
Amroha,2021,28.9,78.47,37,24,161,182,30,36,40,1511
Auraiya,2021,26.47,79.51,32,2,120,83,46,113,23,1136
Azamgarh,2021,26.07,83.19,41,21,163,233,111,65,39,1972
Budaun,2021,28.04,79.12,62,10,132,150,44,53,33,1467
Baghpat,2021,28.94,77.22,54,26,149,185,38,0,25,1466
Bahraich,2021,27.57,81.6,35,18,224,186,130,47,32,1897
Ballia,2021,25.75,84.15,42,8,99,169,42,147,24,1487
Balrampur,2021,27.43,82.18,17,3,45,35,28,11,24,518
Banda,2021,25.48,80.33,51,21,111,75,67,45,31,1232
Bara Banki,2021,26.93,81.19,65,12,75,117,60,75,41,1409
Bareilly,2021,28.36,79.42,71,29,332,560,147,336,22,4038
Basti,2021,26.8,82.73,28,22,83,80,73,91,61,1340
Bijnor,2021,29.37,78.14,38,14,167,190,35,0,29,1400
Bulandshahr,2021,28.41,77.85,69,15,537,525,138,312,53,4357
Chandauli,2021,25.28,83.27,24,9,60,114,49,16,17,882
Chitrakoot,2021,25.2,80.89,9,1,39,44,37,21,30,562
Deoria,2021,26.5,83.78,20,1,45,54,38,0,6,500
Etah,2021,27.56,78.67,27,14,122,143,30,155,10,1314
Etawah,2021,26.78,79.02,59,9,133,244,38,144,23,1846
Ayodhya,2021,26.79,82.19,52,14,161,263,56,7,46,1839
Fatehpur,2021,25.93,80.81,37,14,127,124,92,18,33,1344
Firozabad,2021,27.15,78.4,98,45,280,566,113,0,107,3802
Lucknow,2021,26.85,80.95,136,193,3675,1190,448,1608,103,17447
Ghaziabad,2021,28.67,77.45,80,82,1171,2962,210,23,61,12937
Ghazipur,2021,25.58,83.58,48,19,170,178,87,119,21,1794
Gonda,2021,27.13,81.97,19,3,56,78,34,86,20,827
Gorakhpur,2021,26.76,83.37,144,64,320,582,185,0,100,4417
Hamirpur,2021,25.95,80.15,24,8,64,48,55,37,15,738
Hapur,2021,28.73,77.78,51,20,242,272,5,164,28,2118
